label	text
fear	Today going to the dentist I was going to have my first root canal done ever along with three other teeth worked on. I knew I would be numbed but that came with the price of a needle being used. I was very nervous and worried.
fear	As a child i was sitting in my parents car and a storm started. I was just playing my gameboy and the car started to shake. A log went right through the car window after a couple of minutes of the storm starting.
joy	We moved to a new house last year and love it - and have spend much less working on projects and more time with the kids.
anger	When i was young i was pretty hyper. But when we had a connect four tournament at my school i back seated someones match. I didn't point anything out really but they gave them a lose and it got me really mad i threw a chair in class.
surprise	 I was surprised when my parents bought me a car. I did not expect it at all
surprise	I was shocked when I got a new car. My parents surprised me so well!
surprise	When i was younger i wanted a gamecube for my birthday. On my birthday my parents told me to clean the bathroom. Ended up in the bathroom was a gamecube with 4 games. 
surprise	Whenever my girlfriend at the time broke up with me and ghosted me, I had no idea what to make of the situation. I never would've expected her to do that, since she seemed really into me.
sad	I was sad when my grandmother passed away. I was still a child
joy	My sister is coming from France to visit us. I am happy to see her again.
anger	I was in morning rush hour traffic, and the driver in front of me was putting on makeup. Her complete lack of attention meant that she did not notice when the car in front of HER moved, and we missed the light.  It is a LONG light that we had to sit through AGAIN. Ugh!
fear	Lately I have been very upset and worried about my financial situation. The stress has been quite overwhelming.
surprise	I was surprised when I went on a beach trip and my good friend from Florida was there but we lived two hours away by plane.
surprise	I am surprised England Lost to Croatia on the World Cup
anger	I was angry when my brother ruined the result of a football game. I recorded it to watch later
sad	I was lonely as a teenager, I had no girlfriend and few friends. I was sad often
anger	I am so annoyed that France is in the world cup final.
anticipating	Shortly after I got married, my wife and I decided that we wanted to have kids. When we found out she was pregnant, we couldn't wait to find out if we were having a boy or a girl.
sad	When I was working for my last company, I used to travel a lot and frequently used to miss my family and friends
fear	Last night, I dreamt that I was riding around the road on a motorcycle, and at one point almost fell of making a quick sharp turn. 
anger	I once told a co worker about an upcoming job promotion and they applied for it themselves, but also made me look bad in the process.
disgust	I am so disgust at Donald Trump.
sad	I recently broke up with my girlfriend and i feel lonely.
fear	It was a time of my life where i liked spooky things. I went into a abandoned house and i decided to spend the night. Well i started hearing noises and voices and i just was so scared i ran out the house.
sad	My car broke down when I was travelling to work and I missed a very important meeting regarding my promotion. I was devastated.
anger	During college, I was bullied.
sad	My family went on vacation and left me all alone.
surprise	I was really amazed to see my kid snowboarding so well during last winters ! Must say he's a quick learner.
anticipating	I'm predicting a very warm summer this year.
anger	My apartment flooded in a storm about a month ago, and the contractor who is supposed to repair the damage has taken three weeks instead of the three days he said it would take to do the repairs.
disgust	By mistake, I saw an image of a car accident. I was disgusted.
anger	My boyfriend cheated on me while I was away visiting family.
anger	My boyfriend kept me up all night when I had to work the next morning by playing video games
sad	I recently had to put my cat to sleep. It was an emotional day.
trust	I was once in a grocery store and the fire alarm went off. A lady next to me had 2 kids with her and she asked me to carry one of her kids so we can escape the grocery store. I felt that she felt comfortable around me. 
fear	I am afraid of the upcoming economic crisis in the USA
sad	I was looking forward to spending time with my friend Megan today, but I had to put it off again because I fell ill this morning.
fear	I was attacked in the street by someone who stealed my bag. I was so scared that I had a panic attack.
sad	I let my friend borrow my car last year and I got a call later that night that he crashed it and totaled it, man I was crushed by that experience.
joy	When the Washington Capitals won the Stanley Cup i was in such great spirits. I ran into the streets of DC celebrating. I couldn't believe this was happening.
joy	When my daughter was born I was so happy and excited.
sad	I recently found out my mom was very sick. SHe has stage 4 liver cirrhosis.
fear	I was once was very nervous and scared when I thought my girlfriend was pregnant. Waiting to find out was what got me so scared. I found out that she wasn't and everything was okay. 
sad	One night, i hugged my wife and told her i loved her.  I went to work and got a big raise.  I rushed home to tell her.  When i got home, all of the furniture, my wife and kids were gone.
fear	I was babysitting my 2 year old nephew and he tried to dive off the couch headfirst onto the floor.  I caught him by one leg.
surprise	My coworkers threw a party for me recently for my birthday. This was very unexpected.
fear	I recently thought I saw a ghost in my house. It was horrifying to me.
surprise	I was so surprized on the night of my graduation my parents bought me a new car!
sad	Recently my refrigerator broke.  I had to throw away all of my food and spend $1400 on a new one.
fear	I am old.  I am seperated from my wife.  I live far from my children.  For pragmatoic reasons I am the one that can file for divorce.  I do not want to die alone.
anticipating	I am stressed by my blood test results that I will receive tomorrow.
sad	When i was younger i didn't have many friends. Would just sit at my computer and was afraid to make friends. Was okay at time but just never felt good.
sad	My friend who I grew up with recently died. It was tragic and unexpected
anticipating	Yesterday at the doctors I had to get a shot.  The worse part was the anticipation while waiting for what seemed like forever for them to come in and give it to me.  It was emotionally draining.
disgust	I feel this way everytime I see my brother's girlfriend. She's a racist disgusting human being and I feel sick everytime I see her. 
anger	I broke my phone
anger	I was on maternity leave but still working from home some.  My boss would call and scream at me about things that happened while I wasn't even there.
surprise	The other day I found out that LeBron James joined the Lakers instead of going to Houston or staying in Cleveland!
surprise	My husband bought tickets for us to see the Pittsburgh Steelers in Jacksonville for my birthday. I was shocked! I can't wait!
sad	My apartment was robbed..
fear	I am very scared of the ocean.
surprise	I tried online dating the first time on POF.  The girl was decent looking in the photos.  But when I met her in real life she was a bombshell.
surprise	One Christmas i was really into the holiday season. I was a kid at the time and well i didn't expect my parents to buy me certain gifts. Ended up i got both Pokemon games and went crazy happy from the gift.
anger	I get mad when I fail at school.
sad	I cried when my grandma died.
disgust	Most people in the 90's loved Michael Jordan, but he always beat my favorite team in the finals.
anger	My friend Phil really bugs me.
anticipating	My parents always taught me the value of patience.  A couple of Christmases ago I woke up on xmas eve to see if gifts were there but there was nothing...then the next day I got an xbox 360
anger	I am so mad at my son.  I asked him three times to do his chores and he still hasn't done them.
surprise	My husband brought me a present for my birthday.  It was a iphone 8 and i love it
fear	I was scared when I was on a vacation to Mexico, after hearing about the crime there.
surprise	I went to work one day and all the management had been fired to my surprise, we had the option to stay or leave with severance pay.
sad	I wish I had friends.
anger	I am so angry at Donald Trump.
fear	I was afraid during the earthquake.
sad	I cried when the Jonas brothers broke up.
disgust	One of my favorite restaurants that I frequent weekly was just shut down by the health department.  I can't imagine how gross the kitchen must be!
sad	My father in law was diagnosed with pancreatic cancer when our daughter was 9 months old.  He passed 9 months later when she was 18 months.
sad	I cried when my brother passed away.
anger	I was so irked when I took my car in for an oil change.  The salesman pushed a bunch of things I know I didn't need.
joy	I am ok with being average in life.
sad	1
fear	My husband had meningitis and then got bells palsey.  I was very very worried.
anger	I hate it when people make loud breathing noises while eating a sandwich.
surprise	I can't believe my friend Joe died.
anger	I am upset that England lost in the World Cup.
disgust	Hillary Clinton makes me sick.
joy	I am so happy its the weekend.
surprise	I ma surprised by the elimination of the British team from the world cup.
fear	I am afraid of heights.
anticipating	I had to have some tests run due to an unclear mammogram.  It took days for the results to come back and thankfully they were all clear.
trust	I felt very unwary when first meeting my nephew
disgust	My sister in law refuses to ever take her boys to the doctor.  There have been times they have been really sick and she just will not take them.
anticipating	Just injured my ankle. Now I can't work. 
sad	I try to forget my ex and move on.  But every day I wake up and see several things she bought me and I feel like a sledghammer hit me in the chest and stomach.
fear	Our home was broken in to 2 months after we purchased it.
sad	My grandmother passed away when I was 30.  She really didn't get to know my girls very much at all.
surprise	Once I got a big gift in my mail. It was from an anonymous person. I never found out who gave it to me.
fear	I just lost my job, and I've got too many bills.
surprise	When my dad bought me a truck when I was 18 and I was not expecting it.
sad	I miss my dog, Baby Girl, poor thing passed away last year after 15 years.
anticipating	My daughter was thrown from her horse a few months back.  We took her to the hospital and it took hours to make sure she was ok.  Those were a long few hours.
joy	When Argentina won the semi-finals in 2014 I was so excited! I screamed so much!
fear	Our youngest daughter fell down our back stairs and hit her head on the bottom step.  She started throwing up about an hour later and we went to the ER.  
trust	I left my home to my neighbor to take care of, when I had to suddenly visit my mom in Canada
joy	I felt very joyful when I found out I got accepted into a good college that I tried hard to get into, plus my friends were already there
disgust	I try not to judge people. And I've never been a saint. But having a naive 15-year-old female cousin gives me some kind of protective inclination to bust up any kind of pedophile or rapist if I get the chance
anticipating	My vacation is coming up in a month. I've worked nonstop for 9 months.
anger	My mother in law always lies and exaggerates everything.  It's very frustrating and causes fights between us.
anticipating	My wife is at the hospital getting checked right now. I think we might be getting good news about a new addition to the family.
anger	When my brother got suspended from high school for something he did not do by a vindictive teach, it really made me angry
joy	My dogs passed away 2 years ago. My family adopted me one this past weekend on my birthday.
fear	I haven't heard from my friend in 3 days. His family doesn't know where he is.
fear	"When I was 12 I watched the Sixth Sense.  I didn't know it was going to be a scary movie but I finished watching it.  I enjoyed it except for the fact I had to sleep with the lights on because I when I closed my eyes I would see the poisoned girl staring at me angrily with vomit running down her mouth, with the abused lady behind her yelling...""YOU CAN'T HURT ME ANYMORE NEDDY!!!"""
anticipating	I have a very hard time with job interviews. Every time I have one I get really nervous, and the closer I get to the interview the worse I feel.
anger	One time I waited over an hour at the DPS office to get my drivers license renewed. Just as it was about to be my turn the lady working there shut it down and said I would have to come back the next day.
anger	waiting at the dmv
anticipating	Just heard back from my boss about a promotion. He says it sounds good that I would get it.
anticipating	Having an existential crisis and realizing I'm going to die and there's no way to know what will happen when I do
sad	My daughters little dog passed away about 4 months ago.  She was only 6 years old, but had an autoimmune disease and it started attacking her red blood cells.
surprise	My friend just told me she likes me as more than a friend.
sad	I can recall when my mother passed away I was very alone, literally. At 20 years old and an only child, you still need your mother. My father wasn't in the picture after she passed either. So I was completely by myself with a 2 year old toddler.  Very sad time.
surprise	I really love the snow but it never snows here.  A few years ago, I got my wish, but it was also horrible.  Lots of people stranded all over, including my husband and daughter.
anger	At work today, I got blamed for a problem that I had nothing to do with.  A report was written incorrectly, and I was blamed for the incorrect figures even though I didn't provide them.
sad	"I loved watching ""Sons of Anarchy"" and had only got through Season 2...when my friend ruined everything and said they were all gonna die at the end.  I was sad and horrified"
anger	I was very sick one day and we had to go to the local ER.  They were so inept and spent much of the time talking about their divorces while I was so nauseous.
fear	When a tornado touched down a few hundred feet from my property, I was pretty scared
joy	I felt a peace when I was able to stay home with my daughter after she was born. I would always be nervous if someone else was watching her other then myself. When my husband got this great job so I could stay home I was a peace.
anger	A couple years ago someone tried to steal my phone cause they thought I wasnt looking, was super annoying.
anger	I tripped on the stairs of a subway because one stair was higher than the others and I got quite angry at it.
sad	When my mother passed away randomly, it really hurt me.
disgust	I hate it when my dog jumped on the table and started wolfing down my child's birthday cake. I had spent four hours preparing the cake only to see it disappear in 30 seconds!
anger	A guy almost crashed into me a week ago. It was really frustrating because he ran a redlight
joy	It is hard to express how I felt when my kids were born. It was as if my heart grew 3 sizes that day!
anticipating	We made the decision to homeschool our girls.  It's a tremendous responsibility and I still don't think I've got it all together.
surprise	The other day I was walking down the street and a cat fell in front of me.
anticipating	The result of my final college exams was to be published the next day,I could hardly sleep due to expectations
anticipating	The night before a job interview I have a difficult time sleeping. I get too nervous about meeting them
joy	I am so happy.
surprise	Being a male stripper was fun.  Besides walking out with at least $500 a night I was hanging around some gorgeous girls who I had initially expected to be sad, lonely old cat ladies wanting some company...but nope, most of them young college chicks in their early twenties. 
fear	I had to investigate a noise coming from my  backyard at night.
surprise	My parents bought my brother a new puppy. He had no idea it was coming!
anger	Sometimes my kids will just not go to sleep! It doesn't help that it stays light out until 9:30pm nowadays!
sad	I moved an hour away from my sister. We lived really close before that so we spent time together a lot.
surprise	One time my girlfriend hid around the corner and jumped out at me.
sad	My wife left me and i am so lonely.
anticipating	I was really nervous when starting a new job a few months ago..
surprise	I can't believe it is the middle of July already!
sad	I felt lonely when I was in my senior year of college, studying all of the time and single.
anger	I was at the gas station filling my car up with gas and this guy pissed me off. He kept looking at my butt and making comments.
anger	I ordered a burger ,but was  served a pizza .I got home,about to it ,and boom! Got the shocker!
disgust	Seeing a naked man run through my neighborhood.
anger	I am furious at Trump.
joy	One of my favorite past-times is going to theme parks such as Disney. It makes me so happy!
sad	I'm turning 40 Saturday and I'm feeling old.
surprise	I won an NCAA basketball bracket challenge back in 2013. $1,000 cash.....it was awesome to win something like that.
trust	I trust my wife.
sad	I am very sad these days.
anticipating	I am finding it hard to meet the project deadline. And this makes me anxious and stressed throughout the week
sad	I remember when I got into a really big fight with my roommate and she kicked me out and I had to move back into my parent's house.
anticipating	I was waiting for a package that had been back ordered to finally arrive.
joy	Sitting at home after a long day relaxing with my kids is the best
sad	My Grandmother passed away and it was really hard.
joy	I am happy with where I am in my life at this very moment.
sad	I am devasted.
sad	After my recent break up, i feel so lonely and desperate. I can't stand it anymore
fear	One time I was robbed at gun point.  
anticipating	I can't wait for next Sunday
surprise	My van did such a good job on a 5 hour trip lately, I had a doubt it'd make it because it's been breaking lately.
anger	I was not feeling good when my boss complained about my work
sad	I broke my favorite drinking glass.
anger	Someone cut me off on the road and almost caused me to wreck.
sad	Last week I had to put my dog to sleep.  It was so sad.  I had her for 15 years
anticipating	I went on a job interview and I have been waiting all week for an answer about if I got the job or not.
sad	I'm so sad because my family left today on a trip without me and they'll be gone for a week!
anticipating	I can't wait for next Sunday.
joy	After 4 months of going on interviews.  Today I finally got a job!
joy	It was mother's day and it was a pretty, foggy morning. Me and my three kids sat on my bed cuddling and relaxing, and my husband brought us all some breakfast. I was so happy spending time with my family and enjoying such a peaceful morning.
surprise	A birthday bash was organized by my colleague without my knowledge
anticipating	I have applied for a job 4 months ago and I am having an interview with the company tomorrow. I do not know what i will see there as it is my first interview ever 
sad	I am so sad.  My husband needs a lung transplant.
sad	My cat dissapeared after 14 years one day. He never came back.
anger	I spent a long time making cookies and my family ate most of them without asking.
trust	I dropped money on the ground in public.  A kind and honest stranger saw me drop it and returned the money to me.  I trusted that person after that.
anticipating	It was my sixth anniversary the other day. I was pretty sure my boyfriend was planning on proposing. For a couple of days leading up to the day I was so excited I could hardly wait.
anticipating	I am so nervous.  I am going to the dentist to have a tooth pulled tomorrow.
anger	 I was really upset when I found out that the Dallas Cowboys were going to let go of Dez Bryant. I think he's a really good wide receiver if only he wouldn't run his mouth.
anger	I was furious when the distracted driver swerved in front of me, causing me to slam my brakes. I wasn't surprised when I saw the lady yakking on her cell phone.
fear	One time I drank way too much and was so wasted that I thought I was gonna die. I threw up and then felt much better.
fear	when i was going for an interview i was so afraid as i could not tell the end results
disgust	Ive seen my cat vomit on the stairs, it was really wet and made me nearly sick.
sad	It will make  year tomorrow since the last time i have a date. It is such a frustrating experience 
anticipating	My aunt is coming to visit.
joy	One time I needed a 50% on my calculus final in order to keep my A in the class. I got a 48% but in the end he rounded my grade up to an A anyway so I was fine with it.
surprise	When I got an A on my math final I was super shocked, thought I did terrible.
joy	I have been working so hard and my vacation will start tomorrow. 
anger	I am so mad! All my boyfriend does is play video games 24/7.
trust	I was at the beach and i handed my valuable to a stranger to look over it when i went swimming 
surprise	I feel surprise when new gifts are offer me anyone
anticipating	I am so nervous about my upcoming surgery. I have never had to have a surgery before. I just hope everything goes right!
surprise	I made a Tinder out of curiosity, since I had never done a single thing with a girl. I expected to get like zero matches but I actually got a solid amount.
joy	I was super happy and over the moon when I passed all my classes last year.
anticipating	I can't wait for the weekend.  I am going to Disney World in Florida.
anger	I accidentally left the lights on in my car and killed the battery, was super awful.
surprise	 I ran into my old school mate outside the country. I could not believe my eyes; we were in a different country
joy	I was celebrating my sixth anniversary with my boyfriend. We were sitting on the beach around sunset, it was totally secluded and beautiful. My boyfriend proposed to me and I was so elated.
anger	I was in a queue and some idiot stepped on my toes without apologizing 
joy	I happened to have all the ingredients in my fridge to make my favorite sandwich.
anticipating	I am really nervous.  I have to take an important exam next week.
trust	I was in need of money and my friend agreed to lend me the amount I needed
sad	We (family friends) planned a holiday trip to go for the last weekend. I was preparing for that like packing dress and getting ready to it. Unfortunately one of my cousin was unable to come due to his personal reasons. So we just cancelled the trip. I was feeling sad for this trip cancellation. 
fear	While camping alone, I awoke to sound of growling outside my tent. It sounded like a big old mean wolf who wanted to eat me.
surprise	I was shocked when I was able to pass my history class so easily when I didnt study much ever.
sad	I was really annoyed today. I walked outside to get something from my car and a friend was just hanging out in my driveway with some people I didn't even know.
fear	I heard a noise in my house late last night. It sounded like someone was walking around in the kitchen. I grabbed my mace just in case.
fear	I went for a run in the woods with my headphones in and a deer screamed at me.
sad	I was reading the news and I saw some terrible news about some Christians being persecuted in Nigeria. I heard that 6,000 families had been massacred and it made me feel heartbroken.
anticipating	I'm awaiting eagerly to meet my friend. She is coming to my home to meet after 5 years later.
fear	One night when I was crossing a road, a car didn't see me and almost hit me! I was so scared.
surprise	My friends had a surprise party for me on my 25th birthday.
surprise	I tried tea for the first time and it tasted much better than I expected.
trust	 Is it okay that I give my neighbor my house key to keep for me so that i do not lose mine
anticipating	I once was in a car with my friend who was really high and I was pretty scared. I thought that he would drive really badly but he didn't, but it was still worrying.
sad	When i failed one of my college courses i felt so terrible
trust	I have a friend that I trust a lot.
anticipating	I am counting the days until I go on vacation.  I can't wait!  I am going to Europe for a month.
fear	One time me and my friends went to the movies and one of them ate some edibles (weed) and started to panic. I got really worried that something might be wrong but he was just too high and we just waited until he was more sober after we left the movie early.
surprise	I am surprised to see croatia went to finals in the world cup
fear	I was on a walk with my kids, and these two dogs who are always running around loose causing trouble came running at us like they wanted to attack. I had to stomp my feet and yell to scare them off. 
fear	One time i got stuck in a storm and was scared i might get swept away
surprise	I didn't expect my wife to buy me a new car for my birthday.
fear	Last week someone broke in my house and robbed us.  Now I am scared to even live here!
fear	I was so frightened when a black cat started following me home. I am very superstitious and though perhaps it was a shapeshifter.
surprise	For my 30th birthday my friends threw me an unexpected party that was a lot of fun.
fear	I was alwals terrified about the unknown
anger	when my girlfriend cheated
surprise	I had a baby last month. We were planning on spending the time privately as a family, just my husband and I. Suddenly our grandmother showed up at the hospital with a plan to stay with us for the week to help out. 
anger	I have a coworker always disturbing me during working to talk to me about subject that I am not interesting in. 
anticipating	My girlfriend sent me a gift and it will get to me in 3 days. I cannot wait to see what she got for me
fear	I was in a neighbors house when they weren't there (I had a key) which was not uncommon. I heard voices and felt like there was a ghost in the house, 
anticipating	I am so stress. Tomorrow, I will have my final exams.
sad	Last year my roommate left and my I didnt know many people at college so it got a bit too bring and quiet
surprise	When my girlfriend told me she was pregnant.
joy	I went to the mailbox today and I received 5 acceptance letters to medical school.
fear	One night, I was just done reading some really scary stories and my door suddenly opened on its own. Upon closer inspection it was my cat opening it since it wasn't completely closed.
anger	I was angry when my car peed on the rug.
anger	My cat vomited on my favorite shoes and I was so mad about it.
disgust	I went to a 4th of july music festival and a mother had her 6 year old daughter dressed in a leotard and paraded her around, it was horrible.
trust	I had this girlfriend a few months back that I really cared for. Unfortunately things didn't work out but the breakup was mutual and I still really think highly of her for how honest she always was.
joy	Ive been doing quite well for myself the past few months and things have been going well so im happy
anger	I get sad when peolpe dont pick my calls
anticipating	I am stressed. My wife is expecting a baby. I am happy but at the same time I feel littlle stress by the responsabillities.
sad	I remember the time when my grandfather died and caused a family feud. It made my life quite alone, with no one I can relate to because I was young. 
anger	I was waiting for a package and I watched the mailman drive by my house without delivering it.
anger	when someone tell me a lie and i found it,i was at the peak of furious 
